名称	描述	状态	启动类型	登录为
Hyper-V Data Exchange Service	提供一种机制，用于在虚拟机和运行在物理计算机上的操作系统之间交换数据。		手动(触发器启动)	本地系统
Hyper-V Guest Service Interface	为 Hyper-V 主机提供一个接口，以便与虚拟机内运行的特定服务进行交互。		手动(触发器启动)	本地系统
Hyper-V Guest Shutdown Service	提供一种机制，用于从物理计算机上的管理界面关闭此虚拟机的操作系统。		手动(触发器启动)	本地系统
Hyper-V Heartbeat Service	通过定期报告检测信号来监视此虚拟机的状态。此服务有助于你识别哪些运行的虚拟机已停止响应。		手动(触发器启动)	本地系统
Hyper-V PowerShell Direct Service	提供了一种在不使用虚拟网络的情况下，通过 VM 会话使用 PowerShell 管理虚拟机的机制。		手动(触发器启动)	本地系统
Hyper-V Time Synchronization Service	将此虚拟机的系统时间与物理计算机的系统时间同步。		手动(触发器启动)	本地服务
Hyper-V 卷影复制请求程序	协调使用卷影复制服务所需的通讯，以从物理计算机上的操作系统备份此虚拟机上的应用程序和数据。		手动(触发器启动)	本地系统
Hyper-V 远程桌面虚拟化服务	提供一个平台以在虚拟机和物理计算机上运行的操作系统之间进行通信。		手动(触发器启动)	本地系统
Hyper-V 主机计算服务	为运行的 Windows 容器和虚拟机提供支持。		手动(触发器启动)	本地系统
IKE and AuthIP IPsec Keying Modules	IKEEXT 服务托管 Internet 密钥交换(IKE)和身份验证 Internet 协议(AuthIP)键控模块。这些键控模块用于 Internet 协议安全(IPSec)中的身份验证和密钥交换。停止或禁用 IKEEXT 服务将禁用与对等计算机的 IKE/AuthIP 密钥交换。通常将 IPSec 配置为使用 IKE 或 AuthIP，因此停止或禁用 IKEEXT 服务将导致 IPSec 故障并且危及系统的安全。强烈建议运行 IKEEXT 服务。	正在运行	自动(触发器启动)	本地系统
Intel(R) Audio Service		正在运行	自动	本地系统
Intel(R) Content Protection HDCP Service	Intel(R) Content Protection HDCP Service - enables communication with Content Protection HDCP HW	正在运行	自动(触发器启动)	本地系统
Intel(R) Dynamic Application Loader Host Interface Service	Intel(R) Dynamic Application Loader Host Interface Service - Allows applications to access the local Intel (R) DAL	正在运行	自动	本地系统
Intel(R) Dynamic Tuning Technology Telemetry Service	Intel(R) Dynamic Tuning Technology Telemetry Service	正在运行	自动	本地服务
Intel(R) Graphics Command Center Service	Service for Intel(R) Graphics Command Center	正在运行	自动	本地系统
Intel(R) Innovation Platform Framework Service	Intel(R) Innovation Platform Framework Service	正在运行	自动	本地系统
Intel(R) Management Engine WMI Provider Registration	Intel(R) Management Engine WMI Provider Registration Service	正在运行	自动	本地系统
Intel(R) Platform License Manager Service	Version: 1.71.99.0		自动	本地系统
Intel(R) SUR QC Software Asset Manager	Intel(R) SUR QC Software Asset Manager helps you keep your system up-to-date.		自动	本地系统
Internet Connection Sharing (ICS)	为家庭和小型办公网络提供网络地址转换、寻址、名称解析和/或入侵保护服务。	正在运行	手动(触发器启动)	本地系统
IP Helper	使用 IPv6 转换技术(6to4、ISATAP、端口代理和 Teredo)和 IP-HTTPS 提供隧道连接。如果停止该服务，则计算机将不具备这些技术提供的增强连接优势。	正在运行	自动	本地系统
IP 转换配置服务	配置和启用从 v4 到 v6 的转换，反之亦然		手动(触发器启动)	本地系统
IPsec Policy Agent	Internet 协议安全(IPsec)支持网络级别的对等身份验证、数据原始身份验证、数据完整性、数据机密性(加密)以及重播保护。此服务强制执行通过 IP 安全策略管理单元或命令行工具 "netsh ipsec" 创建的 IPsec 策略。停止此服务时，如果策略需要连接使用 IPsec，可能会遇到网络连接问题。同样，此服务停止时，Windows Defender 防火墙的远程管理也不再可用。	正在运行	手动(触发器启动)	网络服务
Kerberos 本地密钥发行中心	此服务使用户能够使用 Kerberos 身份验证协议登录到本地计算机。如果停止此服务，用户将无法登录到本地计算机。如果禁用此服务，任何明确依赖它的服务都将无法启动。		手动	本地系统
KtmRm for Distributed Transaction Coordinator	协调分布式事务处理协调器(MSDTC)和内核事务管理器(KTM)之间的事务。如果不需要，建议保持该服务的停止状态。如果需要，MSDTC 和 KTM 将自动启动该服务。如果此服务已禁用，任何与内核资源管理器交互的 MSDTC 事务将失败，并且任何显式依赖它的服务将无法启动。		手动(触发器启动)	网络服务
Link-Layer Topology Discovery Mapper	创建网络映射，它由电脑和设备拓扑(连接)信息以及说明每个电脑和设备的元数据组成。如果禁用此服务，则网络映射将不能正常工作。		手动	本地服务
ListaryServiceV2		正在运行	自动	本地系统
Local Session Manager	管理本地用户会话的核心 Windows 服务。停止或禁用此服务将导致系统不稳定。	正在运行	自动	本地系统
Logitech LampArray Service	Provides HID LampArray Lighting support to Logitech devices	正在运行	自动	本地系统
McpManagementService	通用打印管理服务		手动	本地系统
MessagingService_128812	支持短信及相关功能的服务。		手动(触发器启动)	本地系统
MGTV Update Service			手动	本地系统
Microsoft Account Sign-in Assistant	支持用户通过 Microsoft 帐户标识服务登录。如果此服务已停止，用户将无法使用其 Microsoft 帐户登录到此计算机。	正在运行	手动(触发器启动)	本地系统
Microsoft App-V Client	Manages App-V users and virtual applications		禁用	本地系统
Microsoft Edge Update Service (edgeupdate)	使你的 Microsoft 软件保持最新状态。如果此服务已禁用或停止，则 Microsoft 软件将无法保持最新状态，这意味着无法修复可能产生的安全漏洞，并且功能也可能无法使用。如果没有 Microsoft 软件使用此服务，则此服务将自行卸载。		禁用	本地系统
Microsoft Edge Update Service (edgeupdatem)	使你的 Microsoft 软件保持最新状态。如果此服务已禁用或停止，则 Microsoft 软件将无法保持最新状态，这意味着无法修复可能产生的安全漏洞，并且功能也可能无法使用。如果没有 Microsoft 软件使用此服务，则此服务将自行卸载。		禁用	本地系统
Microsoft Edge 更新 服务 (edgeupdate1db8fc699f9368b)	使你的 Microsoft 软件保持最新状态。如果此服务已禁用或停止，则 Microsoft 软件将无法保持最新状态，这意味着无法修复可能产生的安全漏洞，并且功能也可能无法使用。如果没有 Microsoft 软件使用此服务，则此服务将自行卸载。		禁用	本地系统
Microsoft Edge 更新 服务 (edgeupdate1dbf14fa58159f6)	使你的 Microsoft 软件保持最新状态。如果此服务已禁用或停止，则 Microsoft 软件将无法保持最新状态，这意味着无法修复可能产生的安全漏洞，并且功能也可能无法使用。如果没有 Microsoft 软件使用此服务，则此服务将自行卸载。		禁用	本地系统
Microsoft iSCSI Initiator Service	管理从这台计算机到远程 iSCSI 目标设备的 Internet SCSI (iSCSI)会话。如果该服务已停止，则该计算机将无法登录或访问 iSCSI 目标设备。如果该服务已禁用，则所有显式依赖于该服务的服务将不会启动。		手动	本地系统
Microsoft Office Click-to-Run Service	?管理Microsoft 365和 Office 产品及其相关更新的资源协调、后台流式处理和系统集成。在初始流式处理安装和所有后续更新期间，需要在使用任何Microsoft 365和 Office 程序期间运行此服务。?	正在运行	自动	本地系统
Microsoft Passport	为用于对用户关联的标识提供者进行身份验证的加密密钥提供进程隔离。如果禁用了此服务，则这些密钥的所有使用和管理将无法进行，其中包括应用和网站的计算机登录和单一登录。此服务自动启动和停止。建议你不要重新配置此服务。		手动(触发器启动)	本地系统
Microsoft Passport Container	管理用于针对标识提供者及 TPM 虚拟智能卡为用户进行身份验证的本地用户标识密钥。如果禁用了此服务，则将无法访问本地用户标识密钥和 TPM 虚拟智能卡。建议你不要重新配置此服务。	正在运行	手动(触发器启动)	本地服务
Microsoft Software Shadow Copy Provider	管理卷影复制服务制作的基于软件的卷影副本。如果该服务被停止，将无法管理基于软件的卷影副本。如果该服务被禁用，任何依赖它的服务将无法启动。		手动	本地系统
Microsoft Storage Spaces SMP	Microsoft 存储空间管理提供程序的主机服务。如果阻止或禁用这项服务，则无法管理存储空间。		手动	网络服务
Microsoft Store 安装服务	为 Microsoft Store 提供基础结构支持。此服务按需启动，如被禁用，则安装将无法正常运行。		禁用	本地系统
Microsoft Windows SMS 路由器服务。	根据规则将消息路由到相应客户端。		手动(触发器启动)	本地服务
Microsoft 键盘筛选器	控制击键筛选和映射		禁用	本地系统
Microsoft 使用情况和质量见解	生成与使用情况和体验质量相关的摘要事实和见解的Microsoft服务。事实用于自动执行设备上的自愈和其他可选工作流，如个性化产品/服务。		手动(触发器启动)	本地服务
Microsoft 云标识服务	支持与 Microsoft 云标识服务的集成。 如果禁用，租户限制将不会正确实施。		手动	网络服务
MS-MPI Launch Service	Service for launching MS-MPI applications	正在运行	自动	本地系统
MySQL90			手动	网络服务
Net.Tcp Port Sharing Service	提供通过 net.tcp 协议共享 TCP 端口的功能。		禁用	本地服务
Netlogon	为用户和服务身份验证维护此计算机和域控制器之间的安全通道。如果此服务被停用，计算机可能无法验证用户和服务身份并且域控制器无法注册 DNS 记录。如果此服务被禁用，任何依赖它的服务将无法启动。		手动	本地系统
Network Connected Devices Auto-Setup	网络连接设备自动安装服务会监视和安装连接到合格网络的合格设备。停止或禁用此服务将阻止 Windows 自动发现和安装合格的网络连接设备。用户仍然可以通过用户界面将网络连接设备手动添加到电脑。		手动(触发器启动)	本地服务
Network Connection Broker	允许打包的Microsoft Store应用从 Internet 接收通知的中转站连接。	正在运行	手动(触发器启动)	本地系统
Network Connections	管理“网络和拨号连接”文件夹中对象，在其中你可以查看局域网和远程连接。		手动	本地系统
Network Connectivity Assistant	提供 UI 组件的 DirectAccess 状态通知		手动(触发器启动)	本地系统
Network List Service	识别计算机已连接的网络，收集和存储这些网络的属性，并在更改这些属性时通知应用程序。	正在运行	手动	网络服务
Network Setup Service	网络安装服务用于管理网络驱动程序的安装，并允许配置低级别网络设置。如果停止此服务，可能会取消正在进行的所有驱动程序安装。		手动(触发器启动)	本地系统
Network Store Interface Service	此服务向用户模式客户端发送网络通知(例如，添加/删除接口等)。停止此服务将导致丢失网络连接。如果禁用此服务，则显式依赖此服务的所有其他服务都将无法启动。	正在运行	自动	本地服务
NVIDIA Display Container LS	Container service for NVIDIA root features		手动	本地系统
NVIDIA FrameView SDK service	NVIDIA FrameView SDK service		手动(触发器启动)	本地系统
Offline Files	脱机文件服务在脱机文件缓存中执行维护活动，响应用户登录和注销事件，实现公共 API 的内部部分，并将相关的事件分配给关心脱机文件活动和缓存更改的用户。		手动(触发器启动)	本地系统
OpenSSH Authentication Agent	Agent to hold private keys used for public key authentication.	正在运行	自动	本地系统
Optimize drives	通过优化存储驱动器上的文件来帮助计算机更高效地运行。		手动	本地系统
P9RdrService_128812	启用触发启动计划 9 文件服务器。		手动(触发器启动)	本地系统
PenService_128812	手写笔服务		手动(触发器启动)	本地系统
Performance Counter DLL Host	使远程用户和 64 位进程能够查询 32 位 DLL 提供的性能计数器。如果停止此服务，则只有本地用户和 32 位进程能够查询 32 位 DLL 提供的性能计数器。		手动	本地服务
Performance Logs & Alerts	性能日志和警报根据预配置的计划参数从本地或远程计算机收集性能数据，然后将该数据写入日志或触发警报。如果停止此服务，将不收集性能信息。如果禁用此服务，则明确依赖它的所有服务将无法启动。		手动	本地服务
Phone Service	在设备上管理电话服务状态		禁用	本地服务
Plug and Play	使计算机在极少或没有用户输入的情况下能识别并适应硬件的更改。终止或禁用此服务会造成系统不稳定。	正在运行	手动	本地系统
Portable Device Enumerator Service	强制可移动大容量存储设备的组策略。使应用程序(如 Windows 媒体播放器和图像导入向导)能够使用可移动大容量存储设备传输和同步内容。		手动(触发器启动)	本地系统
Power	管理电源策略和电源策略通知传递。	正在运行	自动	本地系统
Print Spooler	该服务在后台执行打印作业并处理与打印机的交互。如果关闭该服务，则无法进行打印或查看打印机。	正在运行	自动	本地系统
Printer Extensions and Notifications	此服务可打开自定义打印机对话框并处理来自远程打印服务器或打印机的通知。如果你关闭此服务，将无法看到打印机扩展或通知。		手动	本地系统
PrintScanBrokerService	为低原始后台处理程序所需的安全特权操作提供支持。		手动	本地系统
PrintWorkflow_128812	提供对打印工作流应用程序的支持。如果关闭此服务，可能无法成功打印。		手动(触发器启动)	本地系统
Problem Reports Control Panel Support	此服务支持查看、发送和删除“问题报告”控制面板的系统级问题报告。		手动	本地系统
Program Compatibility Assistant Service	此服务为程序兼容性助手(PCA)提供支持。PCA 监视由用户安装和运行的程序，并检测已知兼容性问题。如果停止此服务，PCA 将无法正常运行。	正在运行	自动(延迟启动，触发器启动)	本地系统
Quality Windows Audio Video Experience	优质 Windows 音频视频体验(qWave)是用于 IP 家庭网络上的音频视频(AV)流应用程序的网络平台。通过确保 AV 应用程序的网络服务质量(QoS)，qWave 增强了 AV 流的性能和可靠性。它提供了许可控制机制、运行时监视和实施、应用程序反馈以及流量优先顺序。		手动	本地服务
RaiDrive Filesystem Service	OpenBoxLab Filesystem Bridge Service		禁用	本地系统
RayLink Service	RayLink Service	正在运行	自动	本地系统
Realtek Audio Universal Service	Realtek Audio Universal Service	正在运行	自动	本地系统
ReFS 重复数据删除服务	ReFS 重复数据删除和压缩服务，用于跟踪文件更改并运行计划的优化作业。		手动	本地系统
Remote Access Auto Connection Manager	无论什么时候，当某个程序引用一个远程 DNS 或者 NetBIOS 名称或者地址，就创建一个到远程的连接。		手动	本地系统
Remote Access Connection Manager	管理从这台计算机到 Internet 或其他远程网络的拨号和虚拟专用网络(VPN)连接。如果禁用该项服务，则明确依赖该服务的任何服务都将无法启动。	正在运行	自动	本地系统
Remote Desktop Configuration	远程桌面配置服务(RDCS)负责需要 SYSTEM 上下文的所有远程桌面服务和远程桌面相关的配置和会话维护活动。这些包括每会话临时文件夹、RD 主题和 RD 证书。	正在运行	手动	本地系统
Remote Desktop Services	允许用户以交互方式连接到远程计算机。远程桌面和远程桌面会话主机服务器依赖此服务。若要防止远程使用此计算机，请清除“系统”属性控制面板项目的“远程”选项卡上的复选框。	正在运行	手动	网络服务
Remote Desktop Services UserMode Port Redirector	允许为 RDP 连接重定向打印机/驱动程序/端口	正在运行	手动	本地系统
Remote Procedure Call (RPC)	RPCSS 服务是 COM 和 DCOM 服务器的服务控制管理器。它执行 COM 和 DCOM 服务器的对象激活请求、对象导出程序解析和分布式垃圾回收。如果此服务被停用或禁用，则使用 COM 或 DCOM 的程序将无法正常工作。强烈建议你运行 RPCSS 服务。	正在运行	自动	网络服务
Remote Procedure Call (RPC) Locator	在 Windows 2003 和 Windows 的早期版本中，远程过程调用(RPC)定位器服务可管理 RPC 名称服务数据库。在 Windows Vista 和 Windows 的更新版本中，此服务不提供任何功能，但可用于应用程序兼容性。		手动	网络服务
Remote Registry	使远程用户能修改此计算机上的注册表设置。如果此服务被终止，只有此计算机上的用户才能修改注册表。如果此服务被禁用，任何依赖它的服务将无法启动。		禁用	本地服务
Routing and Remote Access	在局域网以及广域网环境中为企业提供路由服务。		禁用	本地系统
RPC Endpoint Mapper	解析 RPC 接口标识符以传输端点。如果此服务被停止或禁用，使用远程过程调用(RPC)服务的程序将无法正常运行。	正在运行	自动	网络服务
Secondary Logon	在不同凭据下启用启动过程。如果此服务被停止，这种类型的登录访问将不可用。如果此服务被禁用，任何明确依赖它的服务都将不能启动。		手动	本地系统
Secure Socket Tunneling Protocol Service	提供使用 VPN 连接到远程计算机的安全套接字隧道协议(SSTP)的支持。如果该服务被禁用，则用户将无法使用 SSTP 访问远程服务器。	正在运行	手动	本地服务
Security Accounts Manager	启动此服务将向其他服务发出信号: 安全帐户管理器(SAM)已准备就绪，可以接受请求。禁用此服务将导致在 SAM 准备就绪时，无法通知系统中的其他服务，从而可能导致这些服务无法正确启动。不应禁用此服务。	正在运行	自动	本地系统
Sensor Data Service	从各种传感器传送数据		手动(触发器启动)	本地系统
Sensor Monitoring Service	监视各种传感器，以公开数据和适应系统和用户状态。如果此服务停止或禁用，显示器亮度将不根据照明条件进行调节。停止此服务还可能会影响其他系统功能和特性。		手动(触发器启动)	本地服务
Sensor Service	一项用于管理各种传感器的功能的传感器服务。管理传感器的简单设备方向(SDO)和历史记录。加载对设备方向变化进行报告的 SDO 传感器。如果停止或禁用了此服务，则将不会加载 SDO 传感器，因此不会发生自动旋转。来自传感器的历史记录收集也将停止。		手动(触发器启动)	本地系统
Server	支持此计算机通过网络的文件、打印、和命名管道共享。如果服务停止，这些功能不可用。如果服务被禁用，任何直接依赖于此服务的服务将无法启动。	正在运行	自动(触发器启动)	本地系统
Shared PC Account Manager	Manages profiles and accounts on a SharedPC configured device		禁用	本地系统
Shell Hardware Detection	为自动播放硬件事件提供通知。	正在运行	自动	本地系统
Smart Card	管理此计算机对智能卡的取读访问。如果此服务被终止，此计算机将无法取读智能卡。如果此服务被禁用，任何依赖它的服务将无法启动。		手动(触发器启动)	本地服务
